,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,carnarvon,0,ZA,1561484352,28,-30.97,22.13,50.65,8.95
1,albany,75,US,1561484267,88,42.65,-73.75,78.01,8.05
2,punta arenas,20,CL,1561484311,64,-53.16,-70.91,39.2,9.17
3,torbay,40,CA,1561484353,72,47.66,-52.73,62.01,9.17
4,umm lajj,0,SA,1561484312,63,25.02,37.27,87.19,10.8
5,lebu,40,ET,1561484353,52,8.96,38.73,69.8,4.54
6,hilo,1,US,1561484109,69,19.71,-155.08,75.2,5.82
7,busselton,56,AU,1561484311,80,-33.64,115.35,55.99,24.81
8,yellowknife,20,CA,1561484163,40,62.45,-114.38,69.8,5.82
9,hobart,0,AU,1561484308,80,-42.88,147.33,45.0,8.05
10,faya,40,SA,1561484306,47,18.39,42.45,77.0,4.7
11,bluff,55,AU,1561484309,81,-23.58,149.07,54.25,8.23
12,leningradskiy,76,RU,1561484355,95,69.38,178.42,32.83,8.66
13,panaba,33,MX,1561484355,45,21.28,-88.27,92.95,12.75
14,ko samui,100,TH,1561484106,76,9.54,99.94,83.95,16.17
15,dikson,0,RU,1561484317,87,73.51,80.55,31.75,11.81
16,ust-kalmanka,7,RU,1561484355,84,52.12,83.31,54.25,5.73
17,norman wells,90,CA,1561484060,93,65.28,-126.83,51.8,17.22
18,mataura,33,NZ,1561484296,80,-46.19,168.86,46.99,5.01
19,cabo san lucas,5,MX,1561484308,74,22.89,-109.91,96.01,9.17
20,upernavik,100,GL,1561484356,92,72.79,-56.15,36.43,13.29
21,kapaa,20,US,1561484356,83,22.08,-159.32,80.6,6.93
22,nouadhibou,0,MR,1561484356,61,20.93,-17.03,78.8,19.46
23,berkakit,8,RU,1561484357,89,56.58,124.77,42.55,2.39
24,ushuaia,75,AR,1561484300,90,-54.81,-68.31,32.0,12.75
25,nome,40,US,1561484357,83,30.04,-94.42,82.0,8.05
26,butaritari,100,KI,1561484323,81,3.07,172.79,82.69,14.18
27,fortuna,0,ES,1561484358,69,38.18,-1.13,82.99,10.29
28,san quintin,98,PH,1561484358,86,17.54,120.52,76.39,3.38
29,atuona,15,PF,1561484320,75,-9.8,-139.03,81.25,21.56
30,kieta,100,PG,1561484358,78,-6.22,155.63,81.79,7.47
31,kruisfontein,60,ZA,1561484359,93,-34.0,24.73,51.73,10.92
32,tasiilaq,20,GL,1561484359,75,65.61,-37.64,44.6,20.8
33,mar del plata,1,AR,1561484302,35,-46.43,-67.52,42.73,13.38
34,souillac,0,FR,1561484327,51,45.6,-0.6,89.01,1.12
35,terney,80,RU,1561484359,85,45.05,136.61,61.99,4.63
36,saskylakh,83,RU,1561484309,52,71.97,114.09,68.83,3.78
37,noyabrsk,35,RU,1561484360,64,63.2,75.45,45.25,6.44
38,puerto ayora,75,EC,1561484360,78,-0.74,-90.35,75.2,18.34
39,bredasdorp,97,ZA,1561484360,82,-34.53,20.04,60.8,14.99
40,aykhal,0,RU,1561484361,48,65.95,111.51,66.2,2.24
41,new norfolk,0,AU,1561484361,80,-42.78,147.06,45.0,8.05
42,rikitea,5,PF,1561484299,86,-23.12,-134.97,71.71,11.99
43,port alfred,99,ZA,1561484315,93,-33.59,26.89,59.0,8.99
44,saint-joseph,0,FR,1561484362,40,43.56,6.97,91.4,4.7
45,kaitangata,16,NZ,1561484298,78,-46.28,169.85,43.0,4.0
46,ngunguru,16,NZ,1561484362,95,-35.62,174.5,48.99,5.01
47,hithadhoo,56,MV,1561484263,67,-0.6,73.08,84.85,3.62
48,tuktoyaktuk,90,CA,1561484299,86,69.44,-133.03,39.2,18.34
49,praia da vitoria,40,PT,1561484363,68,38.73,-27.07,69.8,16.06
50,bethel,75,US,1561484107,87,60.79,-161.76,57.2,8.05
51,jamestown,0,AU,1561484302,58,-33.21,138.6,45.79,8.14
52,halifax,20,CA,1561484132,59,44.65,-63.58,73.99,13.87
53,inuvik,75,CA,1561484364,80,68.36,-133.71,41.0,12.75
54,katsuura,75,JP,1561484364,88,33.93,134.5,71.6,16.11
55,wexford,75,US,1561484365,50,40.63,-80.06,80.01,13.87
56,samarai,99,PG,1561484365,96,-10.62,150.67,73.87,7.0
57,lavrentiya,84,RU,1561484299,77,65.58,-170.99,39.67,7.85
58,vaini,72,IN,1561484315,89,15.34,74.49,78.91,3.51
59,tanete,1,ID,1561484365,78,-3.94,119.78,79.27,18.3
60,solenzo,94,BF,1561484366,35,12.18,-4.08,95.29,3.65
61,athabasca,49,CA,1561484146,84,54.72,-113.29,60.19,3.83
62,barrow,16,AR,1561484366,40,-38.31,-60.23,50.47,21.32
63,ancud,90,CL,1561484366,100,-41.87,-73.83,44.6,11.41
64,iqaluit,75,CA,1561484307,66,63.75,-68.52,51.8,8.05
65,astaneh-ye ashrafiyeh,0,IR,1561484367,62,37.26,49.94,84.2,4.7
66,callaway,75,US,1561484367,64,46.98,-95.91,73.4,10.29
67,beyneu,100,KZ,1561484367,21,45.32,55.19,92.05,7.9
68,kenai,90,US,1561484367,87,60.55,-151.26,64.99,10.29
69,lagoa,20,PT,1561484295,69,37.14,-8.45,75.0,12.75
70,dukat,7,RS,1561484368,83,42.44,22.31,65.59,5.3
71,beya,100,RU,1561484368,66,53.05,90.92,53.17,5.91
72,dakar,0,SN,1561483794,74,14.69,-17.45,87.8,6.93
73,khatanga,97,RU,1561484369,53,71.98,102.47,69.73,13.65
74,zyryanka,5,RU,1561484369,57,65.73,150.89,64.69,3.74
75,cap malheureux,75,MU,1561484369,83,-19.98,57.61,73.99,14.99
76,chapais,90,CA,1561484369,59,49.78,-74.86,60.8,12.75
77,karasjok,75,NO,1561484370,47,69.47,25.52,57.2,18.34
78,christchurch,3,NZ,1561484370,100,-43.53,172.64,36.0,1.12
79,pryazha,96,RU,1561484370,93,61.69,33.62,55.4,8.95
80,copiapo,20,CL,1561484370,63,-27.37,-70.33,60.8,4.7
81,boffa,0,GN,1561484370,79,10.18,-14.04,80.53,11.27
82,pendleton,40,US,1561484371,65,34.65,-82.78,87.8,4.7
83,jesus maria,0,CL,1561484371,19,-20.49,-69.32,77.47,7.58
84,lusambo,1,CD,1561484371,31,-4.97,23.44,76.75,2.06
85,oxapampa,48,PE,1561484195,59,-10.58,-75.4,67.75,6.24
86,vostok,100,RU,1561484372,97,46.45,135.83,61.27,3.4
87,qaanaaq,100,GL,1561484304,93,77.48,-69.36,34.09,4.65
88,faanui,69,PF,1561484298,72,-16.48,-151.75,79.09,15.52
89,solnechnyy,61,RU,1561484372,87,50.72,136.64,42.73,4.85
90,qujing,100,CN,1561484373,93,25.49,103.8,62.89,2.53
91,arlit,0,NE,1561484373,5,18.74,7.39,107.53,4.47
92,mazagao,40,BR,1561484373,62,-0.12,-51.29,89.6,11.41
93,san patricio,96,PY,1561484373,92,-26.98,-56.83,57.13,13.15
94,mount gambier,0,AU,1561484374,83,-37.83,140.78,33.8,6.93
95,yola,54,NG,1561484374,77,9.26,12.45,79.63,8.46
96,saint-pierre,0,FR,1561484375,35,48.95,4.24,91.4,5.82
97,aklavik,75,CA,1561484375,93,68.22,-135.01,41.0,11.41
98,langenlois,0,AT,1561484375,55,48.47,15.68,87.01,6.93
99,mezen,40,RU,1561484376,65,65.85,44.24,53.17,5.19
100,kozhva,100,RU,1561484376,71,65.11,57.05,45.25,4.81
101,east london,90,ZA,1561484033,93,-33.02,27.91,57.2,12.75
102,grindavik,90,IS,1561484376,93,63.84,-22.43,53.6,18.34
103,chokurdakh,0,RU,1561484377,40,70.62,147.9,66.67,10.49
104,chuy,100,UY,1561484377,73,-33.69,-53.46,52.27,21.47
105,saint-philippe,90,CA,1561484300,100,45.36,-73.48,66.99,10.29
106,lashio,98,MM,1561484377,97,22.93,97.75,71.35,0.43
107,tessalit,61,ML,1561484377,5,20.2,1.01,109.69,11.36
108,port lincoln,0,AU,1561484310,51,-34.72,135.86,57.31,18.01
109,buchanan,75,LR,1561484378,94,5.88,-10.05,78.8,9.17
